iter	Passed	Remaining
404	1998	2935
405	2000	2926
406	2002	2917
407	2003	2907
408	2005	2897
409	2007	2888
410	2014	2886
411	2016	2877
412	2017	2867
413	2019	2858
414	2021	2849
415	2022	2839
416	2027	2834
417	2030	2826
418	2034	2821
419	2038	2814
420	2042	2809
421	2044	2800
422	2046	2791
423	2048	2782
424	2049	2773
425	2051	2764
426	2058	2761
427	2059	2753
428	2061	2744
429	2063	2735
430	2065	2726
431	2069	2721
432	2073	2715
433	2075	2706
434	2076	2697
435	2078	2688
436	2080	2679
437	2084	2674
438	2085	2665
439	2087	2657
440	2089	2648
441	2091	2640
442	2093	2631
443	2094	2623
444	2096	2614
445	2102	2611
446	2104	2603
447	2105	2594
448	2107	2586
449	2109	2578
450	2111	2570
451	2118	2568
452	2120	2560
453	2122	2552
454	2124	2544
455	2125	2536
456	2129	2530
457	2132	2523
458	2135	2516
459	2140	2512
460	2142	2504
461	2149	2503
462	2151	2495
463	2153	2487
464	2155	2479
465	2156	2471
466	2161	2466
467	2166	2463
468	2169	2456
469	2172	2449
470	2197	2468
471	2199	2460
472	2201	2452
473	2203	2445
474	2205	2437
475	2214	2437
476	2216	2429
477	2217	2422
478	2219	2414
479	2226	2412
480	2230	2406
481	2232	2399
482	2235	2393
483	2242	2391
484	2244	2383
485	2246	2375
486	2247	2367
487	2250	2361
488	2256	2358
489	2258	2350
490	2260	2343
491	2262	2335
492	2264	2328
493	2265	2320
494	2271	2317
495	2273	2310
496	2275	2302
497	2277	2296
498	2279	2288
499	2281	2281
500	2290	2280
501	2293	2274
502	2294	2267
503	2296	2259
504	2301	2256
505	2304	2249
506	2310	2246
507	2313	2240
508	2317	2235
509	2321	2230
510	2323	2223
511	2325	2216
512	2330	2212
513	2332	2205
514	2334	2198
515	2336	2191
516	2337	2183
517	2339	2176
518	2343	2172
519	2347	2166
520	2348	2159
521	2350	2152
522	2352	2145
523	2353	2138
524	2355	2131
525	2361	2127
526	2362	2120
527	2364	2113
528	2366	2106
529	2367	2099
530	2369	2092
531	2373	2087
532	2376	2082
533	2378	2075
534	2379	2068
535	2381	2061
536	2383	2054
537	2384	2047
538	2391	2045
539	2392	2038
540	2394	2031
541	2396	2024
542	2397	2018
543	2399	2011
544	2405	2007
545	2407	2001
546	2408	1994
547	2410	1988
548	2412	1981
549	2413	1975
550	2417	1969
551	2419	1963
552	2422	1958
553	2426	1953
554	2429	1948
555	2436	1945
556	2437	1938
557	2439	1932
558	2441	1925
559	2442	1919
560	2444	1912
561	2448	1908
562	2450	1901
563	2452	1895
564	2453	1889
565	2455	1882
566	2457	1876
567	2462	1872
568	2464	1866
569	2466	1860
570	2467	1854
571	2469	1847
572	2471	1841
573	2474	1836
574	2478	1831
575	2479	1825
576	2481	1819
577	2483	1813
578	2484	1806
579	2486	1800
580	2492	1797
581	2494	1791
